id;id_beneficiario;nombre;numero_personas;numero_ninios;id_dual;activo
1;Directo Comunidad;invoice;20290;92533;turn-key Desarrollador Rial;true
2;Operaciones Ordenador;Senior niches;5471;25993;Directo Cine online;true
3;Planificador connect;Granito Aragón;44830;10177;acompasada;false
4;Marroquinería Gambia Borders;Gourde Genérico SQL;50030;57571;reinvent;true
5;Unidos;circuit;75949;747;modular Public-key Account;false
6;a;Cambridgeshire;35615;10259;Muelle;false
7;invoice mindshare;Marca withdrawal;48064;84948;cross-platform;true
8;ADP Guyana;solid Bedfordshire;41571;23534;Hogar;false
9;integrate hibrida;productize;38111;87660;Valenciana navigating Organizado;false
10;program;Mongolia application;42896;8725;Bicicleta parse;false
