id;peso;fecha_entrada;fecha_y_hora_log;fecha_y_hora_recogida;fecha_y_hora_preparacion
1;94116;2022-10-15;2022-10-15T10:24:23;2022-10-15T10:02:23;2022-10-15T05:04:34
2;37916;2022-10-14;2022-10-15T03:18:52;2022-10-14T21:12:31;2022-10-15T04:08:25
3;25466;2022-10-15;2022-10-14T11:29:54;2022-10-14T17:29:04;2022-10-15T10:22:29
4;45533;2022-10-15;2022-10-15T02:04:27;2022-10-14T14:17:31;2022-10-15T09:09:48
5;91053;2022-10-14;2022-10-14T13:56:01;2022-10-14T14:06:26;2022-10-14T16:19:26
6;61051;2022-10-14;2022-10-15T02:56:53;2022-10-14T19:59:06;2022-10-14T20:41:49
7;46972;2022-10-14;2022-10-15T02:15:08;2022-10-15T04:03:21;2022-10-14T12:20:01
8;75431;2022-10-15;2022-10-15T00:29:49;2022-10-15T05:03:40;2022-10-14T16:03:47
9;14055;2022-10-14;2022-10-14T23:43:42;2022-10-15T08:51:16;2022-10-15T00:07:16
10;45916;2022-10-14;2022-10-15T04:37:16;2022-10-14T21:24:22;2022-10-15T11:02:20
