id;peso;fruta_y_verdura;fecha_y_hora_entrada;fecha_y_hora_recogida;fecha_y_hora_preparacion
1;32245;true;2023-02-15T01:10:36;2023-02-15T03:30:59;2023-02-14T20:43:43
2;83138;false;2023-02-15T11:34:30;2023-02-15T08:45:38;2023-02-14T20:01:53
3;9367;true;2023-02-14T14:49:27;2023-02-15T13:08:19;2023-02-14T13:41:05
4;41374;false;2023-02-15T07:21:39;2023-02-15T05:27:45;2023-02-15T02:19:08
5;20719;false;2023-02-14T15:05:42;2023-02-15T08:06:56;2023-02-15T10:11:28
6;31243;true;2023-02-15T12:57:39;2023-02-14T23:53:18;2023-02-14T13:56:16
7;22604;true;2023-02-14T22:55:22;2023-02-14T13:28:36;2023-02-15T02:33:22
8;44447;false;2023-02-14T18:25:43;2023-02-15T05:16:52;2023-02-14T17:03:49
9;47967;true;2023-02-15T08:15:43;2023-02-14T14:55:15;2023-02-15T01:29:22
10;34107;true;2023-02-15T00:52:10;2023-02-14T14:44:22;2023-02-14T14:47:31
