id;peso;fecha_entrada;fecha_salida;fecha_y_hora_log;fecha_y_hora_preparacion;fecha_y_hora_recogida
1;87707;2022-10-14;2022-10-15;2022-10-14T17:54:13;2022-10-14T23:47:44;2022-10-14T17:05:37
2;48564;2022-10-15;2022-10-14;2022-10-14T22:33:45;2022-10-14T22:52:14;2022-10-15T05:15:42
3;94431;2022-10-14;2022-10-15;2022-10-15T01:17:37;2022-10-14T20:09:15;2022-10-14T22:43:51
4;91071;2022-10-15;2022-10-15;2022-10-14T21:41:19;2022-10-14T16:06:49;2022-10-15T06:10:37
5;88917;2022-10-14;2022-10-15;2022-10-15T06:48:08;2022-10-15T02:26:57;2022-10-15T06:10:24
6;91410;2022-10-14;2022-10-14;2022-10-14T17:22:07;2022-10-15T03:15:37;2022-10-14T17:25:00
7;72112;2022-10-15;2022-10-14;2022-10-14T21:57:06;2022-10-14T16:38:14;2022-10-15T04:06:00
8;1518;2022-10-15;2022-10-14;2022-10-15T07:17:59;2022-10-15T02:11:48;2022-10-14T14:14:59
9;81687;2022-10-15;2022-10-14;2022-10-14T12:27:49;2022-10-14T13:06:22;2022-10-14T22:37:34
10;23407;2022-10-15;2022-10-14;2022-10-15T08:52:29;2022-10-14T11:44:40;2022-10-14T19:44:30
