id;peso;fruta_y_verdura;fecha_y_hora_entrada;fecha_y_hora_recogida;fecha_y_hora_preparacion
1;94116;false;2022-10-22T16:28:05;2022-10-22T16:06:05;2022-10-22T11:08:16
2;37916;true;2022-10-22T09:22:34;2022-10-22T03:16:13;2022-10-22T10:12:07
3;25466;false;2022-10-21T17:33:36;2022-10-21T23:32:46;2022-10-22T16:26:11
4;45533;false;2022-10-22T08:08:09;2022-10-21T20:21:13;2022-10-22T15:13:30
5;91053;true;2022-10-21T19:59:43;2022-10-21T20:10:08;2022-10-21T22:23:08
6;61051;true;2022-10-22T09:00:35;2022-10-22T02:02:48;2022-10-22T02:45:31
7;46972;true;2022-10-22T08:18:50;2022-10-22T10:07:03;2022-10-21T18:23:43
8;75431;false;2022-10-22T06:33:31;2022-10-22T11:07:22;2022-10-21T22:07:29
9;14055;true;2022-10-22T05:47:24;2022-10-22T14:54:58;2022-10-22T06:10:58
10;45916;true;2022-10-22T10:40:58;2022-10-22T03:28:04;2022-10-22T17:06:02
