id;id_nucleo;nombre;direccion;codigo_postal;provincia;responsable;telefono;email;activo
1;web-readiness Madera;Estonia microchip;Infraestructura;Negro;Administrador;system;nueva;Javier.Montemayor@yahoo.com;true
2;SMS XSS conglomeración;Colegio;generate Representante;COM Desarrollador;Bicicleta configurable Coche;Pequeño Fantástico;optical;Jernimo_Crdenas11@hotmail.com;false
3;transmitter programming;Partida XML generating;Uruguay;Normas;Gerente sinergia;Kip Fantástico mobile;reboot;Graciela_Bravo5@hotmail.com;false
4;transmitter;Ghana Buckinghamshire Argentine;Gerente transmitting;mobile;invoice back-end;funcionalidad Metal Reactivo;panel override neural;Antonio_Altamirano82@hotmail.com;false
5;Violeta Islands Indian;virtual Acero;Jefe;Directo microchip Fantástico;Ingeniero scalable;Representante Castilla array;panel Supervisor;Maril_Dvila74@hotmail.com;true
6;Caserio Morado Andalucía;hacking;panel;recíproca deposit;mindshare driver withdrawal;XSS;Market Sorprendente arquitectura;Concepcin.Melndez68@hotmail.com;false
7;Poblado bricks-and-clicks;feed;Exclusivo SAS;bluetooth Interno payment;Cliente;Sabroso;Relacciones Perseverando;Irene_Gallardo52@hotmail.com;true
8;Ladrillo;visualize;Amarillo IB Seguridada;Violeta homogénea León;Rupee;Cine;Configurable Arrabal Cambridgeshire;Luz14@gmail.com;false
9;generate pixel Buckinghamshire;Director Senior ADP;content orchestrate auxiliary;Auto Corporativo;incubate exploit;Blanco sistemática up;models Realineado;Ricardo.Marroqun@gmail.com;true
10;repurpose;Centralizado overriding;Respuesta web-enabled program;Ladrillo online;innovate Rojo Galicia;SSL;e-enable;Santiago_Carren@hotmail.com;true
