id;nombre_donante;tipo_donante;ruta;direccion_donante;telefono_donante;email_donante;responsable_donante;fecha_alta;fecha_baja;comentarios
1;application one-to-one Account;Librería Ordenador Hecho;8389;array connect;no-volátil bus;Auto;Bedfordshire Lugar Turquia;2022-10-15;2022-10-15;de invoice
2;Andalucía;Azul;16693;index Aplicaciones;Credit;deposit incentivize;Borders;2022-10-15;2022-10-15;sensor payment
3;Pequeño deposit;analista index;73054;user-centric;port;HTTP out-of-the-box;Extendido Jefe International;2022-10-14;2022-10-14;Plaza
4;Zimbabwe auxiliary;monetize;83188;compelling digital Morado;Borders de Moldovan;Ladrillo gestión;tangible Metal;2022-10-15;2022-10-15;monitor
5;Letonia;parsing Soluciones;19957;microchip Poblado;Barein Ordenador web-enabled;Loan Ergonómico Universal;soporte;2022-10-14;2022-10-14;interface Asociado
6;synthesizing architect payment;redundant Intercambiable heurística;44260;Hormigon 24/365;Morado Representante Navarra;invoice Suiza;Avon mano;2022-10-14;2022-10-14;synthesizing
7;withdrawal Distrito Naira;SDD withdrawal;89129;moderador;deposit Berkshire;payment;plug-and-play Albania;2022-10-15;2022-10-15;Diseñador online compress
8;International;compressing Tanzanian invoice;11664;Negro Videojuegos;Borders;withdrawal Malasia Dinánmico;Mesa 4th recíproca;2022-10-14;2022-10-14;reinvent Avanzado
9;Market;alarm Andalucía Berkshire;84187;Bloque;Negro;online Oficial Subida;Borders bypassing;2022-10-14;2022-10-14;architect interfaces Ejecutivo
10;digital scale;Parafarmacia;1149;Soluciones Pollo;intermedia;transicional;Pelota;2022-10-14;2022-10-14;transmitter
