id;peso;productor;modelo;precio;descripcion
1;37716;hacking Leone;transition Cuba scale;58595;Producto optical
2;22399;CSS program web;quantifying Especialista Malta;95531;Increible
3;69646;Pelota Normas;Valenciana Administrador;90808;Rupee generate Berkshire
4;55839;Organizado;bluetooth bypassing;34578;withdrawal Buckinghamshire synthesize
5;98946;Algodón;presupuestaria Edificio;59609;Supervisor
6;90577;Relacciones;utilize fritas Extremadura;9189;Borders sistemática circuit
7;86493;Escalinata;invoice generating bluetooth;75591;Operativo Analista Kyat
8;57685;connecting Swedish Electrónica;Queso Hogar;25208;payment compressing
9;47513;Vasco index;sinergia tiempo;85089;Checking
10;17819;deliver virtual circuit;drive interface;41435;virtual
