id;nombre_nucleo;direccion_nucleo;provincia_nucleo;responsable_nucleo;telefono_nucleo;email_nucleo;numero_rutas
1;web-readiness Madera;Estonia microchip;Infraestructura;Negro;Administrador;system;18564
2;protocol;Cataluña;Facilitador estable;conglomeración Mascotas;Rambla Account Mercados;matrix SCSI;23026
3;configurable Coche deposit;Fantástico;optical;Distribuido hack Account;programming;Partida XML generating;25894
4;Marca Normas;Gerente sinergia;Kip Fantástico mobile;reboot;Franc HTTP Pescado;Operaciones;45701
5;sensor Moda;Centralizado backing mobile;invoice back-end;funcionalidad Metal Reactivo;panel override neural;Librería Navarra Gerente;9210
6;Litas utilize virtual;Sorprendente;programming;microchip;efficient;por Sabroso Representante;57403
7;Verde Borders;recontextualize;IB;Mobilidad indexing Digitalizado;Andalucía Guapa Metal;recíproca deposit;99378
8;feed Moda;Canarias Factores;hibrida Pasaje;Prolongación Arabia Guilder;invoice capacitor;Gourde Exclusivo SAS;84161
9;Account navigating Cayman;Comunidad Sabroso Personal;Perseverando Desarrollador;Account Ergonómico card;Salchichas Madrid SAS;models;94558
10;homogénea León Pollo;Adaptativo Pizza;vortals;Cambridgeshire;optical;tiempo;52474
