id;peso;fruta_y_verdura;fecha_y_hora_entrada;fecha_y_hora_recogida;fecha_y_hora_preparacion
1;32245;true;2023-01-15T03:21:23;2023-01-15T05:41:46;2023-01-14T22:54:30
2;83138;false;2023-01-15T13:45:17;2023-01-15T10:56:25;2023-01-14T22:12:40
3;9367;true;2023-01-14T17:00:14;2023-01-15T15:19:06;2023-01-14T15:51:52
4;41374;false;2023-01-15T09:32:26;2023-01-15T07:38:32;2023-01-15T04:29:55
5;20719;false;2023-01-14T17:16:29;2023-01-15T10:17:43;2023-01-15T12:22:15
6;31243;true;2023-01-15T15:08:26;2023-01-15T02:04:05;2023-01-14T16:07:03
7;22604;true;2023-01-15T01:06:09;2023-01-14T15:39:23;2023-01-15T04:44:09
8;44447;false;2023-01-14T20:36:30;2023-01-15T07:27:39;2023-01-14T19:14:36
9;47967;true;2023-01-15T10:26:30;2023-01-14T17:06:02;2023-01-15T03:40:09
10;34107;true;2023-01-15T03:02:57;2023-01-14T16:55:09;2023-01-14T16:58:18
